aX,aY,aZ,gX,gY,gZ
-4.000,0.575,-4.000,-167.297,1170.166,146.912
-3.385,0.318,-3.952,-434.692,953.430,71.045
-1.779,0.198,-3.983,-572.571,699.951,-30.334
1.241,-0.205,-4.000,-325.928,193.176,-134.766
1.333,-0.335,-4.000,-139.404,-17.456,-121.582
0.761,-0.399,-4.000,57.373,-330.688,-56.030
-0.324,-0.526,-3.997,105.774,-435.303,-31.250
-0.437,-0.699,-3.875,161.499,-544.250,-18.616
-0.173,-0.854,-2.843,145.142,-558.350,-22.644
-0.016,-0.769,-2.233,45.776,-542.297,-26.917
0.133,-0.451,-1.427,16.663,-523.499,-21.729
0.184,-0.324,-1.112,40.649,-478.699,-8.606
0.361,-0.212,-0.497,82.092,-456.421,-8.545
0.373,-0.251,-0.249,154.358,-414.551,-33.203
0.257,-0.429,0.150,155.640,-392.395,-56.091
0.219,-0.438,0.301,91.248,-338.013,-96.375
0.186,-0.326,0.497,42.908,-312.378,-107.605
0.186,-0.263,0.569,-28.381,-272.766,-121.033
0.149,-0.213,0.709,-45.532,-251.587,-125.977
0.098,-0.206,0.791,-58.594,-228.638,-127.075
-0.022,-0.144,0.969,-88.806,-186.218,-120.178
-0.072,-0.107,1.045,-102.295,-170.593,-115.112
-0.103,-0.064,1.112,-110.474,-152.588,-105.774
-0.121,0.018,1.175,-107.544,-147.400,-101.440
-0.164,0.007,1.202,-109.680,-134.583,-93.201
-0.297,0.035,1.360,-126.465,-127.075,-89.294
-0.320,0.148,1.454,-166.992,-113.708,-78.003
-0.268,0.358,1.551,-164.917,-106.018,-69.641
-0.233,0.383,1.584,-119.629,-82.764,-51.331
-0.166,0.342,1.633,-101.685,-68.359,-42.847
-0.147,0.336,1.626,-92.041,-37.415,-28.748
-0.034,0.375,1.569,-87.097,-20.813,-20.996
0.016,0.364,1.547,-77.698,12.695,-11.292
0.102,0.372,1.452,-77.515,28.015,-9.460
0.150,0.381,1.394,-79.163,42.603,-7.812
0.259,0.337,1.292,-89.355,69.397,-4.272
0.324,0.341,1.226,-105.225,79.224,-3.479
0.438,0.360,1.099,-135.986,92.102,-6.226
0.516,0.425,0.928,-123.108,97.229,-9.888
0.520,0.429,0.889,-31.555,104.065,-18.738
0.488,0.397,0.882,1.404,104.858,-21.484
