aX,aY,aZ,gX,gY,gZ
0.608,0.491,-0.718,-248.230,29.114,47.791
0.636,0.418,-0.646,-189.514,31.982,47.913
0.657,0.230,-0.585,-181.824,33.752,46.204
0.704,0.232,-0.551,-223.511,39.795,40.405
0.697,0.320,-0.503,-248.169,43.518,37.231
0.606,0.311,-0.433,-253.906,46.875,34.058
0.616,0.297,-0.402,-220.581,51.392,25.452
0.708,0.208,-0.363,-207.703,53.406,21.301
0.755,0.130,-0.311,-209.412,57.495,13.000
0.803,0.005,-0.245,-213.074,59.204,7.629
0.730,-0.028,-0.244,-210.327,63.354,-2.136
0.895,-0.071,-0.169,-217.773,66.650,-3.662
1.029,-0.147,-0.150,-248.718,75.439,0.549
1.190,-0.239,-0.075,-260.620,80.811,4.517
1.224,-0.276,-0.018,-274.963,90.149,13.977
1.219,-0.219,0.125,-274.963,92.896,19.409
1.214,-0.196,0.158,-264.038,94.238,25.574
1.235,-0.193,0.146,-206.116,95.947,39.917
1.274,-0.231,0.131,-168.518,98.022,47.485
1.257,-0.265,0.156,-120.972,101.685,60.242
1.234,-0.312,0.173,-119.934,100.586,64.575
1.233,-0.294,0.179,-134.094,88.501,67.261
1.260,-0.264,0.173,-134.094,79.346,65.857
1.284,-0.250,0.140,-114.563,57.739,60.303
1.312,-0.254,0.139,-99.792,45.410,58.167
1.298,-0.282,0.158,-84.290,34.912,55.115
1.283,-0.315,0.162,-87.402,10.742,45.959

-1.662,0.611,0.693,-74.036,-215.759,439.819
-1.951,0.682,0.702,-137.634,-187.744,483.459
-2.455,0.884,0.751,-158.508,-168.091,507.385
-2.684,0.959,0.740,-160.400,-116.333,554.749
-3.320,1.060,0.759,-157.043,-82.642,576.355
-3.721,1.127,0.796,-174.622,4.150,613.647
-4.000,1.365,0.859,-191.284,58.167,628.052
-4.000,1.559,0.943,-210.937,120.850,636.658
-4.000,1.841,1.036,-242.981,283.447,638.245
-3.993,2.269,1.097,-239.319,388.916,628.357
-3.999,2.360,1.053,-218.811,651.550,567.322
-4.000,2.190,0.132,-237.732,805.481,509.766
-4.000,2.099,-0.895,-314.697,1150.635,328.064
-4.000,1.766,-3.483,-327.454,1326.904,208.984
-4.000,1.456,-4.000,-275.391,1627.563,-35.217
-4.000,0.500,-4.000,-251.770,1726.807,-140.991
-4.000,-0.057,-3.984,-403.137,1730.102,-326.294
-4.000,-1.276,-3.984,-615.112,1604.065,-435.669
-4.000,-1.886,-4.000,-800.537,1146.362,-650.879
-4.000,-1.985,-4.000,-596.436,893.860,-671.265
-3.999,-1.704,-4.000,-281.189,683.411,-605.164
-3.580,-1.491,-4.000,259.888,423.767,-330.627
-3.261,-1.517,-4.000,372.436,340.698,-202.332
-3.094,-1.462,-4.000,259.338,193.665,-66.040
-3.007,-0.812,-3.936,113.892,130.066,-44.861
-2.951,-0.369,-3.667,3.296,33.386,-41.443
-2.710,0.051,-2.988,80.872,2.197,-46.204
-2.436,-0.064,-2.836,245.361,-12.207,-66.467
-1.762,-0.467,-2.574,246.521,7.263,-80.444
-1.577,-0.526,-2.377,19.836,31.616,-74.646
-1.430,-0.463,-2.164,-98.145,36.133,-83.618
-1.354,-0.406,-2.086,-77.576,72.937,-96.436
-1.381,-0.439,-2.014,-10.254,79.651,-87.097
-1.323,-0.419,-2.007,62.805,71.228,-68.665
-1.090,-0.383,-1.975,77.515,65.186,-59.692
-1.009,-0.370,-1.917,83.252,49.683,-38.696
-0.885,-0.368,-1.821,74.097,39.185,-31.433
-0.830,-0.355,-1.791,48.401,16.296,-23.254
-0.778,-0.261,-1.688,41.138,5.066,-20.142
-0.779,-0.200,-1.632,36.926,-15.625,-15.686
-0.756,-0.117,-1.576,38.696,-24.536,-13.977
-0.754,-0.082,-1.548,41.016,-32.166,-12.695
-0.776,-0.051,-1.508,37.476,-44.373,-12.207
-0.800,0.015,-1.427,31.799,-49.622,-13.123
-0.790,0.052,-1.401,21.973,-59.265,-16.907
-0.838,0.116,-1.351,22.461,-63.782,-19.348
-0.877,0.143,-1.327,30.823,-73.120,-25.146
-0.879,0.188,-1.306,34.180,-78.125,-28.015
-0.862,0.206,-1.311,39.551,-88.318,-33.813
-0.901,0.237,-1.319,41.321,-93.689,-36.987
-0.934,0.260,-1.318,41.321,-104.980,-44.250
-0.958,0.306,-1.310,40.527,-110.962,-48.035
-0.970,0.322,-1.303,31.555,-124.023,-54.199
-0.979,0.336,-1.297,21.912,-130.981,-56.213
-0.960,0.335,-1.288,-1.282,-144.531,-57.678
-0.925,0.312,-1.245,-15.259,-150.269,-57.434
-0.897,0.311,-1.208,-51.147,-158.569,-55.603
-0.795,0.344,-1.118,-68.726,-161.255,-53.894
-0.743,0.374,-1.080,-93.872,-163.513,-48.279
-0.663,0.403,-1.039,-100.159,-163.025,-44.189
-0.616,0.399,-1.025,-101.746,-161.255,-39.368
-0.513,0.363,-0.984,-99.731,-155.029,-28.381
-0.464,0.329,-0.966,-100.403,-151.367,-22.278
-0.409,0.302,-0.952,-110.901,-144.409,-8.789
-0.300,0.295,-0.940,-121.704,-141.052,-1.160
-0.246,0.295,-0.930,-148.010,-133.728,16.235
-0.121,0.300,-0.898,-158.691,-129.761,25.330
-0.082,0.306,-0.871,-166.138,-122.192,43.335
-0.042,0.281,-0.848,-162.048,-118.896,51.880
-0.010,0.237,-0.834,-147.034,-111.938,66.589
0.088,0.261,-0.820,-148.010,-107.849,72.937
0.133,0.306,-0.854,-180.054,-96.924,87.402
0.160,0.287,-0.874,-192.566,-89.966,94.788
0.191,0.323,-0.877,-197.754,-75.867,107.849
0.233,0.324,-0.897,-194.763,-69.031,113.953
0.238,0.299,-0.902,-182.617,-57.190,123.535
0.250,0.233,-0.921,-182.007,-52.917,126.892
0.234,0.213,-0.928,-188.660,-49.744,129.517
0.221,0.212,-0.928,-215.149,-45.898,133.850
0.210,0.233,-0.934,-225.464,-44.617,135.986
0.199,0.238,-0.926,-225.037,-42.358,140.076
0.196,0.220,-0.892,-216.980,-41.077,141.785
0.195,0.213,-0.871,-204.895,-38.391,144.653
0.205,0.165,-0.800,-203.125,-36.499,146.057
0.210,0.130,-0.775,-202.942,-31.555,148.254
0.191,0.050,-0.747,-206.970,-28.259,148.987
0.162,0.022,-0.745,-226.562,-20.630,149.719
0.144,0.015,-0.762,-235.229,-16.541,150.208
0.164,0.020,-0.768,-238.159,-12.024,151.245
0.207,0.025,-0.785,-232.117,-2.869,154.968
0.225,0.029,-0.804,-231.812,1.709,157.227
0.250,0.046,-0.818,-240.112,10.437,161.621
0.299,0.097,-0.831,-241.211,14.038,163.330
0.323,0.116,-0.839,-231.079,19.592,165.771
0.406,0.154,-0.849,-224.548,21.912,166.687
0.455,0.167,-0.844,-216.614,26.245,167.541
0.522,0.181,-0.843,-213.501,28.015,166.931
0.536,0.171,-0.842,-209.473,29.114,165.344
0.573,0.154,-0.852,-204.285,29.053,159.546
0.594,0.153,-0.853,-207.092,28.198,155.640
0.620,0.162,-0.858,-220.947,26.917,147.034
0.689,0.196,-0.896,-226.929,26.978,142.700
0.690,0.207,-0.893,-232.422,26.978,134.644
0.668,0.257,-0.865,-233.582,26.001,131.042
0.674,0.298,-0.837,-229.187,23.315,124.817
0.700,0.351,-0.807,-218.750,22.949,121.765
0.685,0.345,-0.796,-194.763,24.292,114.319
0.608,0.344,-0.779,-192.932,24.963,109.924
0.586,0.370,-0.792,-205.627,24.536,101.318
0.597,0.450,-0.764,-210.266,23.926,97.717
0.627,0.483,-0.734,-208.374,23.254,94.421
0.641,0.498,-0.693,-187.744,21.423,88.623
0.817,0.494,-0.593,-178.467,19.775,86.304
0.882,0.490,-0.530,-177.429,14.893,83.252
1.053,0.498,-0.411,-180.298,12.207,81.848
1.156,0.493,-0.357,-168.945,7.507,76.904
1.334,0.480,-0.243,-160.339,5.371,73.181
1.394,0.473,-0.198,-148.743,0.427,65.063
1.495,0.450,-0.120,-143.433,-3.296,61.096

-1.560,0.487,0.860,6.775,-289.246,492.981
-1.854,0.479,0.848,-11.475,-267.517,544.250
-2.585,0.462,0.830,-31.494,-250.977,567.383
-3.051,0.504,0.853,-97.107,-200.134,608.948
-3.925,0.672,0.933,-132.629,-162.415,627.197
-4.000,0.778,0.989,-196.655,-50.842,656.189
-4.000,1.139,1.259,-228.943,25.513,666.992
-3.990,1.390,1.387,-273.926,218.628,674.805
-3.997,1.870,1.335,-284.180,343.445,664.307
-4.000,2.117,1.065,-297.607,492.798,640.625
-4.000,2.340,0.502,-326.050,858.826,549.194
-4.000,2.408,-1.574,-321.411,1062.866,478.271
-4.000,2.118,-2.961,-280.640,1456.665,293.884
-4.000,1.475,-4.000,-266.907,1624.817,188.965
-4.000,1.192,-4.000,-249.939,1845.032,-8.057
-4.000,0.185,-3.962,-320.007,1850.769,-94.849
-4.000,-0.771,-3.973,-783.203,1568.176,-341.370
-4.000,-2.839,-4.000,-990.234,1307.495,-500.244
-4.000,-2.996,-4.000,-862.244,731.995,-661.926
-3.769,-2.235,-3.999,-560.242,496.155,-606.445
